"Date","Tickets","Type","Status"
"11/22/13","2","Manual","Complimentary"
"11/22/13","12","Manual","Free Order"
"11/22/13","7","Manual","Free Order"
"11/22/13","7","Manual","Free Order"
"11/22/13","6","Manual","Free Order"
"11/22/13","12","Manual","Free Order"
"11/21/13","1","PayPal","PayPal Completed"
"11/21/13","1","PayPal","PayPal Completed"
"11/21/13","1","PayPal","PayPal Completed"
"11/20/13","1","PayPal","PayPal Completed"
"11/20/13","1","PayPal","PayPal Completed"
"11/20/13","1","PayPal","PayPal Completed"
"11/19/13","1","PayPal","PayPal Completed"
"11/19/13","1","PayPal","PayPal Completed"
"11/18/13","2","PayPal","PayPal Completed"
"11/18/13","1","PayPal","PayPal Completed"
"11/18/13","3","PayPal","PayPal Completed"
"11/16/13","2","PayPal","PayPal Completed"
"11/16/13","1","PayPal","PayPal Completed"
"11/15/13","3","PayPal","PayPal Completed"
"11/14/13","1","PayPal","PayPal Completed"
"11/14/13","1","PayPal","PayPal Completed"
"11/13/13","1","PayPal","PayPal Completed"
"11/13/13","1","PayPal","PayPal Completed"
"11/13/13","1","PayPal","PayPal Completed"
"11/12/13","2","PayPal","PayPal Completed"
"11/12/13","1","PayPal","PayPal Completed"
"11/6/13","1","PayPal","PayPal Completed"
"11/6/13","1","PayPal","PayPal Completed"
"11/5/13","1","PayPal","PayPal Completed"
"11/5/13","1","PayPal","PayPal Completed"
"11/5/13","1","PayPal","PayPal Completed"
"11/5/13","1","PayPal","PayPal Completed"
"11/3/13","1","PayPal","PayPal Completed"
"10/30/13","1","PayPal","PayPal Completed"
"10/30/13","1","PayPal","PayPal Completed"
"10/30/13","1","PayPal","PayPal Completed"
"10/22/13","1","PayPal","PayPal Completed"
"10/22/13","1","PayPal","PayPal Completed"
"10/22/13","1","PayPal","PayPal Completed"
"10/22/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","2","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/21/13","1","PayPal","PayPal Completed"
"10/17/13","1","PayPal","PayPal Completed"
"10/16/13","1","PayPal","PayPal Completed"
"10/16/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/14/13","1","PayPal","PayPal Completed"
"10/13/13","1","PayPal","PayPal Completed"
"10/12/13","1","PayPal","PayPal Completed"
"10/11/13","3","Manual","Paid Online With PayPal"
"10/11/13","1","PayPal","PayPal Completed"
"10/11/13","1","PayPal","PayPal Completed"
"10/11/13","3","PayPal","PayPal Completed"
"10/10/13","1","PayPal","PayPal Completed"
"10/8/13","1","PayPal","PayPal Completed"
"10/8/13","1","PayPal","PayPal Completed"
"10/8/13","1","PayPal","PayPal Completed"
"10/8/13","1","PayPal","PayPal Completed"
"10/8/13","2","PayPal","PayPal Completed"
"10/6/13","1","PayPal","PayPal Completed"
"10/5/13","1","PayPal","PayPal Completed"
"10/2/13","1","PayPal","PayPal Completed"
"10/2/13","1","PayPal","PayPal Completed"
"10/1/13","1","PayPal","PayPal Completed"
"9/28/13","1","PayPal","PayPal Completed"
"9/27/13","1","PayPal","PayPal Completed"
"9/25/13","1","PayPal","PayPal Completed"
"9/23/13","1","PayPal","PayPal Completed"
"9/21/13","1","PayPal","PayPal Completed"
"9/21/13","1","PayPal","PayPal + Manually Edited"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","2","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
"9/19/13","1","PayPal","PayPal Completed"
